sent1,sent2,logits0,logits1,label
北横ii标讲了哪些重点所在,闵浦镇的标准化建设投入了多少资金,2.677572011947632,-2.67490291595459,0
北横ii标讲了哪些重点所在,2017年，亿利集团又全面实施什么工程,1.8666001558303833,-1.909446120262146,0
北横ii标讲了哪些重点所在,珍珠小区人居环境建设的成功，使得社区党支部以什么为核心的社区生活共同体雏形初现,3.9064295291900635,-3.9711453914642334,0
北横ii标讲了哪些重点所在,党的工作机关的职责是什么,3.858975887298584,-3.3781588077545166,0
北横ii标讲了哪些重点所在,系统进行用户注册、办理事项申请等操作，应该做好什么,3.2961266040802,-3.101860761642456,0
北横ii标讲了哪些重点所在,密是什么,1.6883999109268188,-1.2704380750656128,0
北横ii标讲了哪些重点所在,孙志刚怎样石化盘算,2.862056016921997,-2.7340738773345947,0
北横ii标讲了哪些重点所在,根据需要，可以安排有关人员列席会议的安排是,3.045524835586548,-2.7334017753601074,0
北横ii标讲了哪些重点所在,为什么说蔓枯病会发生艾滋病,3.567995309829712,-3.44820237159729,0
北横ii标讲了哪些重点所在,党校（行政学院）各个班次应当建立学员临时党支部吗,3.801781177520752,-3.5356438159942627,0
北横ii标讲了哪些重点所在,这个故事发生的主人翁有什么意思,2.271399736404419,-2.045170307159424,0
北横ii标讲了哪些重点所在,习近平总书记系列重要讲话是什么,1.5641318559646606,-1.8649550676345825,0
北横ii标讲了哪些重点所在,什么是安全员,1.8695722818374634,-1.5176323652267456,0
北横ii标讲了哪些重点所在,习近平亲切会见的那些人,3.2970731258392334,-3.048842191696167,0
北横ii标讲了哪些重点所在,严格党的组织生活制度，民主生活会有什么规定,3.8799941539764404,-3.7287347316741943,0
北横ii标讲了哪些重点所在,这个现象每每每次发生会什么,2.026928663253784,-1.6537468433380127,0
北横ii标讲了哪些重点所在,大田县在以多少个村官建制村为试点的基础上，建立农村工作住村特派员制度,4.0250773429870605,-3.6411798000335693,0
北横ii标讲了哪些重点所在,在茶叶的种植大户蔡方儒信心满满的时候，哪个人信得到了真实的原因,2.7454752922058105,-2.6204569339752197,0
北横ii标讲了哪些重点所在,2012年，全省89％的社区场所面积面积不足200平方米，绝大多数社区没有固定工作经费，社区工作者报酬平均仅有多少,4.074361324310303,-3.901381254196167,0
北横ii标讲了哪些重点所在,中央政治局常务委员会会议的召开时间和地点是什么,2.7563962936401367,-2.5323026180267334,0
北横ii标讲了哪些重点所在,王怀斌如何评价村组织的,3.6855974197387695,-3.537391185760498,0
北横ii标讲了哪些重点所在,一核心三优势和红豆党建工作法有什么联系和区别,3.449249505996704,-3.1835296154022217,0
北横ii标讲了哪些重点所在,刘洪的工作方法唯一4个字是什么,3.2563560009002686,-3.0975301265716553,0
北横ii标讲了哪些重点所在,马永贞(1972年4月逝世的时间是,2.4701180458068848,-2.161022901535034,0
北横ii标讲了哪些重点所在,韩有翼选举之后，要经谁批准,2.5499682426452637,-2.197417736053467,0
北横ii标讲了哪些重点所在,金融监管会有什么作用,3.4613893032073975,-3.3247244358062744,0
北横ii标讲了哪些重点所在,有条件的地方可依法探索什么样的体制,3.952181816101074,-3.609041929244995,0
北横ii标讲了哪些重点所在,芝博物馆是怎样的一项机制,3.1035215854644775,-2.8369851112365723,0
北横ii标讲了哪些重点所在,加强对党的创新理论、党的方针政策的研究解读，组织力量撰写理论文章在哪些媒体发表,3.2220189571380615,-2.92014217376709,0
北横ii标讲了哪些重点所在,要把党员日常教育管理的基础性工作抓紧抓好,3.7679290771484375,-3.301980972290039,0
北横ii标讲了哪些重点所在,360网站安全团队有多少骨干党员参与进来,3.931706428527832,-3.5215351581573486,0
北横ii标讲了哪些重点所在,这次著名的五老吃火锅故事，体现在什么地方,2.0299582481384277,-1.891008973121643,0
北横ii标讲了哪些重点所在,这一做法脱胎于什么时候,3.340461015701294,-2.991666078567505,0
北横ii标讲了哪些重点所在,信用卡作为基层党组织有什么作用,4.283620834350586,-4.0428876876831055,0
北横ii标讲了哪些重点所在,权力和监督存在什么关系,3.7941596508026123,-3.6764132976531982,0
北横ii标讲了哪些重点所在,挪用救灾款款购买房屋的类型有哪些,3.524684190750122,-3.4096953868865967,0
北横ii标讲了哪些重点所在,社区党委是以哪些地方为代表,2.75673246383667,-2.5803472995758057,0
北横ii标讲了哪些重点所在,一根红线相连，什么关系,0.8657315969467163,-0.6460172533988953,0
北横ii标讲了哪些重点所在,我们学习的目的是什么,2.368344306945801,-2.2109389305114746,0
北横ii标讲了哪些重点所在,坡子街的红色地图用什么标注了坡子街街道近百个基层党组织和党群服务中心,1.7288931608200073,-1.731286644935608,0
